PD,Raw_Capacity,Final_Limit,Risk_Haircut_Pct
0.6083792,5996.9106,2348.5151,60.837917
0.72821575,23634.053,6423.3633,72.82158
0.42418596,9999.097,5757.62,42.418594
0.47493497,16010.171,8406.382,47.493496
0.5385144,15995.138,7381.526,53.851437
0.12768479,30067.822,26228.62,12.768478
0.60395414,7992.681,3165.4683,60.395412
0.6106159,3008.062,1171.2915,61.061592
0.7338088,25005.783,6656.319,73.38088
0.31039894,21000.164,14481.735,31.039894
0.72221786,29973.402,8326.076,72.22179
0.28082705,34995.223,25167.617,28.082705
0.37054014,25011.84,15743.949,37.054016
0.512533,14028.984,6838.667,51.2533
0.42903766,26518.658,15141.154,42.903767
0.29188034,23011.6,16294.966,29.188034
0.60672635,35037.54,13779.341,60.672634
0.52201885,34968.555,16714.31,52.201885
0.2643125,13268.491,9761.463,26.431252
0.5000033,20047.656,10023.763,50.000328
0.29977053,25056.23,17545.111,29.977053
0.23754664,7995.3843,6096.108,23.754663
0.5741301,1741.1335,741.49634,57.413013
0.3567145,28012.957,18020.33,35.671448
0.6521864,23626.94,8217.771,65.21864
0.3008379,3008.6348,2103.5234,30.08379
0.32127243,12003.585,8147.164,32.127243
0.3070217,12809.272,8876.548,30.702171
0.428715,5001.071,2857.0369,42.8715
0.70557654,13915.163,4096.9507,70.557655
0.43442905,9997.718,5654.419,43.442905
0.7630205,34989.9,8291.888,76.30205
0.3330808,12002.838,8004.9233,33.30808
0.55144256,14153.035,6348.449,55.144257
0.39078683,16007.726,9752.117,39.078682
0.41680792,18005.95,10500.928,41.680794
0.69184107,7995.6807,2463.9404,69.184105
0.26284137,10687.887,7878.668,26.284138
0.12168305,12007.956,10546.791,12.168305
0.7884823,10003.716,2115.963,78.84823
0.1764205,9996.254,8232.71,17.64205
0.51830786,9990.961,4812.5674,51.830788
0.13682656,6516.8438,5625.1665,13.682656
0.16549778,7999.94,6675.968,16.549778
0.13596244,19991.064,17273.031,13.596244
0.5158634,14997.115,7260.6523,51.58634
0.6372895,4996.377,1812.2383,63.72895
0.38498262,15996.454,9838.098,38.49826
0.40765685,34983.797,20722.412,40.765686
0.5831697,10000.222,4168.3955,58.31697
0.5080109,16008.83,7876.1694,50.801094
0.57306033,15019.832,6412.562,57.306034
0.51532054,7998.5215,3876.719,51.532055
0.4907142,6002.411,3056.9429,49.07142
0.3923684,4991.0,3032.6892,39.23684
0.59100723,17457.87,7140.142,59.100723
0.4539922,23958.574,13081.568,45.39922
0.38372368,10832.058,6675.5405,38.372368
0.3403336,9992.247,6591.55,34.03336
0.060363524,25021.234,23510.865,6.036352
0.32805648,9991.551,6713.758,32.80565
0.26835084,5002.0054,3659.7131,26.835083
0.30334222,6873.8594,4788.7275,30.334223
0.71798366,10002.041,2820.739,71.79836
